,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
457,Under Armour Inc. Class A,UAA,0.016717,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-03-25 00:00:00,
458,Under Armour Inc. Class C,UA,0.015357,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01 00:00:00,
459,Union Pacific Corporation,UNP,0.521815,Industrials,Railroads,"Omaha, Nebraska",,
460,United Continental Holdings Inc.,UAL,0.083907,Industrials,Airlines,"Chicago, Illinois",2015-09-03 00:00:00,
461,United Parcel Service Inc. Class B,UPS,0.317787,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22 00:00:00,
462,United Rentals Inc.,URI,0.044286,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20 00:00:00,
463,United Technologies Corporation,UTX,0.414782,Industrials,Aerospace & Defense,"Hartford, Connecticut",,
464,UnitedHealth Group Incorporated,UNH,1.100338,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01 00:00:00,
465,Universal Health Services Inc. Class B,UHS,0.049397,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20 00:00:00,
466,Unum Group,UNM,0.032555,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01 00:00:00,
467,V.F. Corporation,VFC,0.107003,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979-06-30 00:00:00,
468,Valero Energy Corporation,VLO,0.154582,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
469,Varian Medical Systems Inc.,VAR,0.052392,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12 00:00:00,
470,Ventas Inc.,VTR,0.097654,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04 00:00:00,
471,VeriSign Inc.,VRSN,0.077362,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01 00:00:00,
472,Verisk Analytics Inc,VRSK,0.084033,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08 00:00:00,
473,Verizon Communications Inc.,VZ,1.105609,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30 00:00:00,
474,Vertex Pharmaceuticals Incorporated,VRTX,0.21558,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23 00:00:00,
475,Viacom Inc. Class B,VIAB,0.048107,Communication Services,Movies & Entertainment,"New York, New York",,
476,Visa Inc. Class A,V,1.111207,Information Technology,Internet Software & Services,"San Francisco, California",2009-12-21 00:00:00,
477,Vornado Realty Trust,VNO,0.050532,Real Estate,Office REITs,"New York, New York",,
478,Vulcan Materials Company,VMC,0.061529,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30 00:00:00,
479,W.W. Grainger Inc.,GWW,0.058589,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30 00:00:00,
480,Walgreens Boots Alliance Inc,WBA,0.262274,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31 00:00:00,
481,Walmart Inc.,WMT,0.62496,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31 00:00:00,
482,Walt Disney Company,DIS,0.77163,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30 00:00:00,
483,Waste Management Inc.,WM,0.168095,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
484,Waters Corporation,WAT,0.069128,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
485,WEC Energy Group Inc,WEC,0.098751,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31 00:00:00,
486,WellCare Health Plans Inc.,WCG,0.057422,Health Care,Managed Health Care,"Tampa, Florida",1985,
487,Wells Fargo & Company,WFC,0.946508,Financials,Diversified Banks,"San Francisco, California",1976-06-30 00:00:00,
488,Welltower Inc.,WELL,0.123241,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30 00:00:00,
489,Western Digital Corporation,WDC,0.050758,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009-07-01 00:00:00,
490,Western Union Company,WU,0.035861,Information Technology,Internet Software & Services,"Englewood, Colorado",,1851
491,WestRock Company,WRK,0.047034,Materials,Paper Packaging,"Richmond, Virginia",,
492,Weyerhaeuser Company,WY,0.08318,Real Estate,Specialized REITs,"Federal Way, Washington",,
493,Whirlpool Corporation,WHR,0.036239,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
494,Williams Companies Inc.,WMB,0.140424,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31 00:00:00,
495,Willis Towers Watson Public Limited Company,WLTW,0.09192,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05 00:00:00,
496,Wynn Resorts Limited,WYNN,0.048545,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14 00:00:00,
497,Xcel Energy Inc.,XEL,0.115945,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,1909
498,Xerox Corporation,XRX,0.022704,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1906
499,Xilinx Inc.,XLNX,0.104802,Information Technology,Semiconductors,"San Jose, California",1999-11-08 00:00:00,
500,Xylem Inc.,XYL,0.056754,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01 00:00:00,
501,Yum! Brands Inc.,YUM,0.130768,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06 00:00:00,
502,Zimmer Biomet Holdings Inc.,ZBH,0.095804,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07 00:00:00,
503,Zions Bancorporation N.A.,ZION,0.039483,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22 00:00:00,
504,Zoetis Inc. Class A,ZTS,0.186345,Health Care,Pharmaceuticals,,,
